Project_Name,Subproject,Sample_ID,Source_ID,Strain_ID,Plasmid_ID,Nucleic_Acids_ID,A260,A280,Ratio,nDrop,Qubit,Quantification_Method,Extractor,Date_Extracted,Storage_Location,Storage_Box,Kit_Name,Lot_Number,Kit_Name_2,Lot_Number_2,What_is_this?,Empty,Notes
NIH_Leech_Microbiome,EnvInteract,UAa7dF110814EMbi,UAa7dF110814EMb,,,UAa7dF110814EMbiD,,,,,44.8,,LinA,2015-04-24,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa7dF110814EMci,UAa7dF110814EMc,,,UAa7dF110814EMciD,,,,,11.7,,LinA,2015-04-24,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,FAa2d2F022115EMai,FAa2d2F022115EMa,,,FAa2d2F022115EMaiD,,,,,1.38,,LinA,2015-02-23,BPB425_-20,DNA5,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,FAa2d2F022115EMbi,FAa2d2F022115EMb,,,FAa2d2F022115EMbiD,,,,,1.14,,LinA,2015-02-23,BPB425_-20,DNA5,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,FAa2d2F022115EMci,FAa2d2F022115EMc,,,FAa2d2F022115EMciD,,,,,0.755,,LinA,2015-02-23,BPB425_-20,DNA5,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa2d2F022115EMai,UAa2d2F022115EMa,,,UAa2d2F022115EMaiD,,,,,1.36,,LinA,2015-02-23,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa2d2F022115EMbi,UAa2d2F022115EMb,,,UAa2d2F022115EMbiD,,,,,9.81,,LinA,2014-04-24,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa2d2F022115EMci,UAa2d2F022115EMc,,,UAa2d2F022115EMciD,,,,,1.15,,LinA,2015-02-25,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,FAa7d2F022715EMai,FAa7d2F022715EMa,,,FAa7d2F022715EMaiD,,,,,23.4,,LinA,2015-04-08,BPB425_-20,DNA5,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,FAa7d2F022715EMbi,FAa7d2F022715EMb,,,FAa7d2F022715EMbiD,,,,,6.14,,LinA,2015-04-03,BPB425_-20,DNA5,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa7d2F022715EMai,UAa7d2F022715EMa,,,UAa7d2F022715EMaiD,,,,,37.9,,LinA,2015-04-03,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa7d2F022715EMbi,UAa7d2F022715EMb,,,UAa7d2F022715EMbiD,,,,,24.3,,LinA,2015-04-01,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa7d2F022715EMci,UAa7d2F022715EMc,,,UAa7d2F022715EMciD,,,,,48.1,,LinA,2015-04-01,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,FAa0d2F031115EMai,FAa0d2F031115EMa,,,FAa0d2F031115EMaiD,,,,,,,,,BPB425_-20,DNA5,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,FAa0d2F031115EMbi,FAa0d2F031115EMb,,,FAa0d2F031115EMbiD,,,,,,,,,BPB425_-20,DNA5,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,FAa0d2F031115EMci,FAa0d2F031115EMc,,,FAa0d2F031115EMciD,,,,,,,,,BPB425_-20,DNA5,,,,,,no,
